Vide;Time;Value
-------------------- N3 --------------------
2018-06-25T10:39:22.2670000;0;689.2
2018-06-25T10:39:22.2690000;2;683.5
2018-06-25T10:39:22.2710000;4;679.2
2018-06-25T10:39:22.2730000;6;678.4
2018-06-25T10:39:22.2750000;8;679.2
2018-06-25T10:39:22.2770000;10;673.6
2018-06-25T10:39:22.2790000;12;670.6
2018-06-25T10:39:22.2810000;14;666.3
2018-06-25T10:39:22.2830000;16;663.3
2018-06-25T10:39:22.2850000;18;660.2
2018-06-25T10:39:22.2870000;20;657.2
2018-06-25T10:39:22.2890000;22;653.3
2018-06-25T10:39:22.2910000;24;650.7
2018-06-25T10:39:22.2930000;26;648.6
2018-06-25T10:39:22.2950000;28;646.0
2018-06-25T10:39:22.2970000;30;647.3
2018-06-25T10:39:22.2990000;32;646.4
2018-06-25T10:39:22.3010000;34;643.8
2018-06-25T10:39:22.3030000;36;641.7
2018-06-25T10:39:22.3050000;38;640.4
2018-06-25T10:39:22.3070000;40;640.0
2018-06-25T10:39:22.3090000;42;640.4
2018-06-25T10:39:22.3110000;44;638.2
2018-06-25T10:39:22.3130000;46;636.1
2018-06-25T10:39:22.3150000;48;636.1
2018-06-25T10:39:22.3170000;50;632.2
2018-06-25T10:39:22.3190000;52;630.0
2018-06-25T10:39:22.3210000;54;630.0
2018-06-25T10:39:22.3230000;56;628.7
2018-06-25T10:39:22.3250000;58;627.0
2018-06-25T10:39:22.3270000;60;624.4
2018-06-25T10:39:22.3290000;62;621.4
2018-06-25T10:39:22.3310000;64;618.4
2018-06-25T10:39:22.3330000;66;617.5
2018-06-25T10:39:22.3350000;68;615.4
2018-06-25T10:39:22.3370000;70;614.1
2018-06-25T10:39:22.3390000;72;614.9
2018-06-25T10:39:22.3410000;74;612.3
2018-06-25T10:39:22.3430000;76;611.5
2018-06-25T10:39:22.3450000;78;612.3
2018-06-25T10:39:22.3470000;80;614.9
2018-06-25T10:39:22.3490000;82;614.9
2018-06-25T10:39:22.3510000;84;616.2
2018-06-25T10:39:22.3530000;86;616.2
2018-06-25T10:39:22.3550000;88;614.9
2018-06-25T10:39:22.3570000;90;616.7
2018-06-25T10:39:22.3590000;92;617.1
2018-06-25T10:39:22.3610000;94;617.5
2018-06-25T10:39:22.3630000;96;616.7
2018-06-25T10:39:22.3650000;98;616.2
2018-06-25T10:39:22.3670000;100;611.9
2018-06-25T10:39:22.3690000;102;614.1
2018-06-25T10:39:22.3710000;104;611.9
2018-06-25T10:39:22.3730000;106;611.5
2018-06-25T10:39:22.3750000;108;611.9
2018-06-25T10:39:22.3770000;110;611.0
2018-06-25T10:39:22.3790000;112;609.8
2018-06-25T10:39:22.3810000;114;609.8
2018-06-25T10:39:22.3830000;116;610.6
2018-06-25T10:39:22.3850000;118;611.0
2018-06-25T10:39:22.3870000;120;613.6
2018-06-25T10:39:22.3890000;122;611.9
2018-06-25T10:39:22.3910000;124;616.2
