Vide;Time;Value
-------------------- N13 --------------------
2018-06-25T10:39:37.8290000;0;578.7
2018-06-25T10:39:37.8310000;2;591.2
2018-06-25T10:39:37.8330000;4;602.0
2018-06-25T10:39:37.8350000;6;608.9
2018-06-25T10:39:37.8370000;8;616.2
2018-06-25T10:39:37.8390000;10;618.4
2018-06-25T10:39:37.8410000;12;621.4
2018-06-25T10:39:37.8430000;14;624.0
2018-06-25T10:39:37.8450000;16;624.0
2018-06-25T10:39:37.8470000;18;622.3
2018-06-25T10:39:37.8490000;20;621.4
2018-06-25T10:39:37.8510000;22;621.0
2018-06-25T10:39:37.8530000;24;618.8
2018-06-25T10:39:37.8550000;26;617.5
2018-06-25T10:39:37.8570000;28;613.6
2018-06-25T10:39:37.8590000;30;611.0
2018-06-25T10:39:37.8610000;32;606.7
2018-06-25T10:39:37.8630000;34;602.4
2018-06-25T10:39:37.8650000;36;600.3
2018-06-25T10:39:37.8670000;38;593.8
2018-06-25T10:39:37.8690000;40;589.0
2018-06-25T10:39:37.8710000;42;583.9
2018-06-25T10:39:37.8730000;44;579.1
2018-06-25T10:39:37.8750000;46;571.3
2018-06-25T10:39:37.8770000;48;565.7
2018-06-25T10:39:37.8790000;50;560.6
2018-06-25T10:39:37.8810000;52;555.8
2018-06-25T10:39:37.8830000;54;551.9
2018-06-25T10:39:37.8850000;56;544.6
2018-06-25T10:39:37.8870000;58;540.7
2018-06-25T10:39:37.8890000;60;537.7
2018-06-25T10:39:37.8910000;62;536.8
2018-06-25T10:39:37.8930000;64;532.1
2018-06-25T10:39:37.8950000;66;528.2
2018-06-25T10:39:37.8970000;68;525.2
2018-06-25T10:39:37.8990000;70;523.4
2018-06-25T10:39:37.9010000;72;520.9
2018-06-25T10:39:37.9030000;74;517.4
2018-06-25T10:39:37.9050000;76;515.2
2018-06-25T10:39:37.9070000;78;512.7
2018-06-25T10:39:37.9090000;80;510.5
2018-06-25T10:39:37.9110000;82;505.8
2018-06-25T10:39:37.9130000;84;504.5
2018-06-25T10:39:37.9150000;86;501.0
2018-06-25T10:39:37.9170000;88;499.7
2018-06-25T10:39:37.9190000;90;497.1
2018-06-25T10:39:37.9210000;92;494.1
2018-06-25T10:39:37.9230000;94;491.9
2018-06-25T10:39:37.9250000;96;488.9
2018-06-25T10:39:37.9270000;98;486.3
2018-06-25T10:39:37.9290000;100;482.9
2018-06-25T10:39:37.9310000;102;481.2
2018-06-25T10:39:37.9330000;104;479.9
2018-06-25T10:39:37.9350000;106;478.6
2018-06-25T10:39:37.9370000;108;477.3
2018-06-25T10:39:37.9390000;110;477.3
2018-06-25T10:39:37.9410000;112;476.0
2018-06-25T10:39:37.9430000;114;474.7
2018-06-25T10:39:37.9450000;116;472.5
2018-06-25T10:39:37.9470000;118;471.7
2018-06-25T10:39:37.9490000;120;472.1
2018-06-25T10:39:37.9510000;122;472.1
2018-06-25T10:39:37.9530000;124;469.5
2018-06-25T10:39:37.9550000;126;469.5
2018-06-25T10:39:37.9570000;128;468.6
2018-06-25T10:39:37.9590000;130;467.3
2018-06-25T10:39:37.9610000;132;465.6
2018-06-25T10:39:37.9630000;134;464.8
2018-06-25T10:39:37.9650000;136;465.2
2018-06-25T10:39:37.9670000;138;465.2
2018-06-25T10:39:37.9690000;140;463.9
2018-06-25T10:39:37.9710000;142;462.6
2018-06-25T10:39:37.9730000;144;461.3
2018-06-25T10:39:37.9750000;146;459.6
2018-06-25T10:39:37.9770000;148;458.3
2018-06-25T10:39:37.9790000;150;457.9
2018-06-25T10:39:37.9810000;152;457.4
2018-06-25T10:39:37.9830000;154;456.6
2018-06-25T10:39:37.9850000;156;454.8
2018-06-25T10:39:37.9870000;158;454.0
2018-06-25T10:39:37.9890000;160;452.2
2018-06-25T10:39:37.9910000;162;451.8
2018-06-25T10:39:37.9930000;164;453.1
2018-06-25T10:39:37.9950000;166;452.2
2018-06-25T10:39:37.9970000;168;451.8
2018-06-25T10:39:37.9990000;170;453.1
2018-06-25T10:39:38.0010000;172;452.7
2018-06-25T10:39:38.0030000;174;452.2
2018-06-25T10:39:38.0050000;176;451.4
2018-06-25T10:39:38.0070000;178;452.7
2018-06-25T10:39:38.0090000;180;454.4
2018-06-25T10:39:38.0110000;182;454.8
2018-06-25T10:39:38.0130000;184;454.0
2018-06-25T10:39:38.0150000;186;454.0
2018-06-25T10:39:38.0170000;188;453.1
2018-06-25T10:39:38.0190000;190;451.0
2018-06-25T10:39:38.0210000;192;451.4
2018-06-25T10:39:38.0230000;194;451.4
2018-06-25T10:39:38.0250000;196;450.5
2018-06-25T10:39:38.0270000;198;447.9
2018-06-25T10:39:38.0290000;200;445.8
2018-06-25T10:39:38.0310000;202;444.9
2018-06-25T10:39:38.0330000;204;447.5
2018-06-25T10:39:38.0350000;206;447.5
2018-06-25T10:39:38.0370000;208;446.6
2018-06-25T10:39:38.0390000;210;446.6
2018-06-25T10:39:38.0410000;212;447.5
2018-06-25T10:39:38.0430000;214;447.5
2018-06-25T10:39:38.0450000;216;449.7
2018-06-25T10:39:38.0470000;218;451.8
2018-06-25T10:39:38.0490000;220;451.8
2018-06-25T10:39:38.0510000;222;452.2
2018-06-25T10:39:38.0530000;224;451.4
2018-06-25T10:39:38.0550000;226;451.8
2018-06-25T10:39:38.0570000;228;452.2
2018-06-25T10:39:38.0590000;230;453.1
