Vide;Time;Value
-------------------- N15 --------------------
2018-06-25T10:39:40.9410000;0;561.9
2018-06-25T10:39:40.9430000;2;572.6
2018-06-25T10:39:40.9450000;4;582.1
2018-06-25T10:39:40.9470000;6;590.8
2018-06-25T10:39:40.9490000;8;596.8
2018-06-25T10:39:40.9510000;10;601.6
2018-06-25T10:39:40.9530000;12;603.7
2018-06-25T10:39:40.9550000;14;604.6
2018-06-25T10:39:40.9570000;16;602.4
2018-06-25T10:39:40.9590000;18;603.3
2018-06-25T10:39:40.9610000;20;600.7
2018-06-25T10:39:40.9630000;22;598.5
2018-06-25T10:39:40.9650000;24;593.4
2018-06-25T10:39:40.9670000;26;589.9
2018-06-25T10:39:40.9690000;28;583.9
2018-06-25T10:39:40.9710000;30;578.3
2018-06-25T10:39:40.9730000;32;573.5
2018-06-25T10:39:40.9750000;34;567.5
2018-06-25T10:39:40.9770000;36;564.4
2018-06-25T10:39:40.9790000;38;558.8
2018-06-25T10:39:40.9810000;40;553.2
2018-06-25T10:39:40.9830000;42;548.0
2018-06-25T10:39:40.9850000;44;541.6
2018-06-25T10:39:40.9870000;46;538.6
2018-06-25T10:39:40.9890000;48;534.7
2018-06-25T10:39:40.9910000;50;532.1
2018-06-25T10:39:40.9930000;52;528.2
2018-06-25T10:39:40.9950000;54;522.6
2018-06-25T10:39:40.9970000;56;517.8
2018-06-25T10:39:40.9990000;58;515.2
2018-06-25T10:39:41.0010000;60;511.4
2018-06-25T10:39:41.0030000;62;507.5
2018-06-25T10:39:41.0050000;64;503.6
2018-06-25T10:39:41.0070000;66;499.3
2018-06-25T10:39:41.0090000;68;497.1
2018-06-25T10:39:41.0110000;70;495.0
2018-06-25T10:39:41.0130000;72;491.9
2018-06-25T10:39:41.0150000;74;488.5
2018-06-25T10:39:41.0170000;76;485.5
2018-06-25T10:39:41.0190000;78;482.9
2018-06-25T10:39:41.0210000;80;484.2
2018-06-25T10:39:41.0230000;82;481.2
2018-06-25T10:39:41.0250000;84;476.0
2018-06-25T10:39:41.0270000;86;472.1
2018-06-25T10:39:41.0290000;88;469.1
2018-06-25T10:39:41.0310000;90;466.1
2018-06-25T10:39:41.0330000;92;464.3
2018-06-25T10:39:41.0350000;94;460.9
2018-06-25T10:39:41.0370000;96;458.3
2018-06-25T10:39:41.0390000;98;457.4
2018-06-25T10:39:41.0410000;100;454.8
2018-06-25T10:39:41.0430000;102;455.3
2018-06-25T10:39:41.0450000;104;455.7
2018-06-25T10:39:41.0470000;106;455.3
2018-06-25T10:39:41.0490000;108;454.8
2018-06-25T10:39:41.0510000;110;452.7
2018-06-25T10:39:41.0530000;112;451.4
2018-06-25T10:39:41.0550000;114;451.0
2018-06-25T10:39:41.0570000;116;451.4
2018-06-25T10:39:41.0590000;118;449.2
2018-06-25T10:39:41.0610000;120;446.2
2018-06-25T10:39:41.0630000;122;444.0
2018-06-25T10:39:41.0650000;124;442.3
2018-06-25T10:39:41.0670000;126;442.8
2018-06-25T10:39:41.0690000;128;441.5
2018-06-25T10:39:41.0710000;130;439.3
2018-06-25T10:39:41.0730000;132;436.7
2018-06-25T10:39:41.0750000;134;436.3
2018-06-25T10:39:41.0770000;136;435.8
2018-06-25T10:39:41.0790000;138;435.4
2018-06-25T10:39:41.0810000;140;436.3
