Vide;Time;Value
-------------------- N11 --------------------
2018-06-25T10:55:52.3730000;0;611.0
2018-06-25T10:55:52.3750000;2;622.3
2018-06-25T10:55:52.3770000;4;630.9
2018-06-25T10:55:52.3790000;6;637.4
2018-06-25T10:55:52.3810000;8;643.8
2018-06-25T10:55:52.3830000;10;646.4
2018-06-25T10:55:52.3850000;12;650.7
2018-06-25T10:55:52.3870000;14;653.8
2018-06-25T10:55:52.3890000;16;656.8
2018-06-25T10:55:52.3910000;18;654.2
2018-06-25T10:55:52.3930000;20;653.8
2018-06-25T10:55:52.3950000;22;654.2
2018-06-25T10:55:52.3970000;24;657.2
2018-06-25T10:55:52.3990000;26;662.8
2018-06-25T10:55:52.4010000;28;669.3
2018-06-25T10:55:52.4030000;30;681.0
2018-06-25T10:55:52.4050000;32;696.1
2018-06-25T10:55:52.4070000;34;712.5
2018-06-25T10:55:52.4090000;36;740.1
2018-06-25T10:55:52.4110000;38;763.8
2018-06-25T10:55:52.4130000;40;788.4
2018-06-25T10:55:52.4150000;42;813.4
2018-06-25T10:55:52.4170000;44;837.6
2018-06-25T10:55:52.4190000;46;873.0
2018-06-25T10:55:52.4210000;48;898.0
2018-06-25T10:55:52.4230000;50;920.0
2018-06-25T10:55:52.4250000;52;935.6
2018-06-25T10:55:52.4270000;54;953.3
2018-06-25T10:55:52.4290000;56;975.3
2018-06-25T10:55:52.4310000;58;988.2
2018-06-25T10:55:52.4330000;60;999.9
2018-06-25T10:55:52.4350000;62;1008.9
2018-06-25T10:55:52.4370000;64;1014.5
2018-06-25T10:55:52.4390000;66;1021.9
2018-06-25T10:55:52.4410000;68;1026.2
2018-06-25T10:55:52.4430000;70;1028.3
2018-06-25T10:55:52.4450000;72;1032.2
2018-06-25T10:55:52.4470000;74;1034.4
2018-06-25T10:55:52.4490000;76;1034.0
2018-06-25T10:55:52.4510000;78;1034.8
2018-06-25T10:55:52.4530000;80;1037.0
2018-06-25T10:55:52.4550000;82;1035.2
2018-06-25T10:55:52.4570000;84;1037.4
2018-06-25T10:55:52.4590000;86;1034.8
2018-06-25T10:55:52.4610000;88;1032.2
2018-06-25T10:55:52.4630000;90;1031.8
2018-06-25T10:55:52.4650000;92;1031.4
2018-06-25T10:55:52.4670000;94;1028.3
2018-06-25T10:55:52.4690000;96;1027.5
2018-06-25T10:55:52.4710000;98;1024.0
2018-06-25T10:55:52.4730000;100;1021.4
2018-06-25T10:55:52.4750000;102;1021.9
2018-06-25T10:55:52.4770000;104;1020.6
2018-06-25T10:55:52.4790000;106;1015.8
2018-06-25T10:55:52.4810000;108;1015.0
2018-06-25T10:55:52.4830000;110;1011.5
2018-06-25T10:55:52.4850000;112;1005.5
2018-06-25T10:55:52.4870000;114;1000.7
2018-06-25T10:55:52.4890000;116;996.4
2018-06-25T10:55:52.4910000;118;994.2
2018-06-25T10:55:52.4930000;120;990.8
2018-06-25T10:55:52.4950000;122;987.8
2018-06-25T10:55:52.4970000;124;985.6
2018-06-25T10:55:52.4990000;126;983.0
2018-06-25T10:55:52.5010000;128;981.7
2018-06-25T10:55:52.5030000;130;979.1
2018-06-25T10:55:52.5050000;132;978.7
2018-06-25T10:55:52.5070000;134;977.9
2018-06-25T10:55:52.5090000;136;974.4
2018-06-25T10:55:52.5110000;138;972.2
2018-06-25T10:55:52.5130000;140;970.1
2018-06-25T10:55:52.5150000;142;967.9
2018-06-25T10:55:52.5170000;144;963.2
2018-06-25T10:55:52.5190000;146;962.7
2018-06-25T10:55:52.5210000;148;959.7
2018-06-25T10:55:52.5230000;150;959.3
2018-06-25T10:55:52.5250000;152;958.9
2018-06-25T10:55:52.5270000;154;960.2
2018-06-25T10:55:52.5290000;156;958.9
2018-06-25T10:55:52.5310000;158;958.0
2018-06-25T10:55:52.5330000;160;956.7
2018-06-25T10:55:52.5350000;162;956.7
2018-06-25T10:55:52.5370000;164;955.8
2018-06-25T10:55:52.5390000;166;956.3
2018-06-25T10:55:52.5410000;168;954.5
2018-06-25T10:55:52.5430000;170;954.1
2018-06-25T10:55:52.5450000;172;953.3
2018-06-25T10:55:52.5470000;174;947.6
2018-06-25T10:55:52.5490000;176;946.8
2018-06-25T10:55:52.5510000;178;945.9
2018-06-25T10:55:52.5530000;180;943.3
2018-06-25T10:55:52.5550000;182;941.2
2018-06-25T10:55:52.5570000;184;939.9
2018-06-25T10:55:52.5590000;186;936.4
