Vide;Time;Value
-------------------- N15 --------------------
2018-06-25T10:55:58.6010000;0;570.9
2018-06-25T10:55:58.6030000;2;580.8
2018-06-25T10:55:58.6050000;4;589.9
2018-06-25T10:55:58.6070000;6;595.5
2018-06-25T10:55:58.6090000;8;604.6
2018-06-25T10:55:58.6110000;10;610.6
2018-06-25T10:55:58.6130000;12;610.2
2018-06-25T10:55:58.6150000;14;609.8
2018-06-25T10:55:58.6170000;16;606.3
2018-06-25T10:55:58.6190000;18;603.3
2018-06-25T10:55:58.6210000;20;601.6
2018-06-25T10:55:58.6230000;22;600.3
2018-06-25T10:55:58.6250000;24;598.5
2018-06-25T10:55:58.6270000;26;599.0
2018-06-25T10:55:58.6290000;28;600.7
2018-06-25T10:55:58.6310000;30;601.1
2018-06-25T10:55:58.6330000;32;608.0
2018-06-25T10:55:58.6350000;34;615.4
2018-06-25T10:55:58.6370000;36;626.6
2018-06-25T10:55:58.6390000;38;640.0
2018-06-25T10:55:58.6410000;40;651.2
2018-06-25T10:55:58.6430000;42;662.8
2018-06-25T10:55:58.6450000;44;676.2
2018-06-25T10:55:58.6470000;46;688.3
2018-06-25T10:55:58.6490000;48;703.0
2018-06-25T10:55:58.6510000;50;715.9
2018-06-25T10:55:58.6530000;52;727.6
2018-06-25T10:55:58.6550000;54;737.9
2018-06-25T10:55:58.6570000;56;749.1
2018-06-25T10:55:58.6590000;58;762.5
2018-06-25T10:55:58.6610000;60;770.3
2018-06-25T10:55:58.6630000;62;778.9
2018-06-25T10:55:58.6650000;64;785.4
2018-06-25T10:55:58.6670000;66;795.3
2018-06-25T10:55:58.6690000;68;803.1
2018-06-25T10:55:58.6710000;70;810.8
2018-06-25T10:55:58.6730000;72;817.8
2018-06-25T10:55:58.6750000;74;826.8
2018-06-25T10:55:58.6770000;76;838.5
2018-06-25T10:55:58.6790000;78;845.8
2018-06-25T10:55:58.6810000;80;855.7
2018-06-25T10:55:58.6830000;82;860.0
2018-06-25T10:55:58.6850000;84;866.9
2018-06-25T10:55:58.6870000;86;873.4
2018-06-25T10:55:58.6890000;88;878.2
2018-06-25T10:55:58.6910000;90;883.3
2018-06-25T10:55:58.6930000;92;888.1
2018-06-25T10:55:58.6950000;94;889.8
2018-06-25T10:55:58.6970000;96;893.3
2018-06-25T10:55:58.6990000;98;893.7
