Vide;Time;Value
-------------------- N19 --------------------
2018-06-25T10:56:04.8210000;0;516.1
2018-06-25T10:56:04.8230000;2;527.3
2018-06-25T10:56:04.8250000;4;538.1
2018-06-25T10:56:04.8270000;6;548.5
2018-06-25T10:56:04.8290000;8;554.9
2018-06-25T10:56:04.8310000;10;560.6
2018-06-25T10:56:04.8330000;12;563.6
2018-06-25T10:56:04.8350000;14;564.4
2018-06-25T10:56:04.8370000;16;565.3
2018-06-25T10:56:04.8390000;18;564.9
2018-06-25T10:56:04.8410000;20;564.9
2018-06-25T10:56:04.8430000;22;566.6
2018-06-25T10:56:04.8450000;24;567.9
2018-06-25T10:56:04.8470000;26;568.3
2018-06-25T10:56:04.8490000;28;572.6
2018-06-25T10:56:04.8510000;30;575.2
2018-06-25T10:56:04.8530000;32;580.8
2018-06-25T10:56:04.8550000;34;589.9
2018-06-25T10:56:04.8570000;36;600.3
2018-06-25T10:56:04.8590000;38;611.5
2018-06-25T10:56:04.8610000;40;623.1
2018-06-25T10:56:04.8630000;42;633.9
2018-06-25T10:56:04.8650000;44;646.4
2018-06-25T10:56:04.8670000;46;663.7
2018-06-25T10:56:04.8690000;48;677.1
2018-06-25T10:56:04.8710000;50;691.7
2018-06-25T10:56:04.8730000;52;704.7
2018-06-25T10:56:04.8750000;54;717.2
2018-06-25T10:56:04.8770000;56;732.3
2018-06-25T10:56:04.8790000;58;740.5
2018-06-25T10:56:04.8810000;60;749.1
2018-06-25T10:56:04.8830000;62;755.6
2018-06-25T10:56:04.8850000;64;762.1
2018-06-25T10:56:04.8870000;66;769.4
2018-06-25T10:56:04.8890000;68;774.6
2018-06-25T10:56:04.8910000;70;780.6
2018-06-25T10:56:04.8930000;72;778.5
2018-06-25T10:56:04.8950000;74;778.5
2018-06-25T10:56:04.8970000;76;777.2
2018-06-25T10:56:04.8990000;78;776.3
2018-06-25T10:56:04.9010000;80;777.2
2018-06-25T10:56:04.9030000;82;777.2
2018-06-25T10:56:04.9050000;84;778.5
2018-06-25T10:56:04.9070000;86;776.8
2018-06-25T10:56:04.9090000;88;774.2
2018-06-25T10:56:04.9110000;90;770.3
2018-06-25T10:56:04.9130000;92;771.1
2018-06-25T10:56:04.9150000;94;770.7
2018-06-25T10:56:04.9170000;96;769.9
2018-06-25T10:56:04.9190000;98;769.4
2018-06-25T10:56:04.9210000;100;767.7
2018-06-25T10:56:04.9230000;102;764.7
2018-06-25T10:56:04.9250000;104;763.8
2018-06-25T10:56:04.9270000;106;762.1
2018-06-25T10:56:04.9290000;108;758.6
2018-06-25T10:56:04.9310000;110;757.3
2018-06-25T10:56:04.9330000;112;754.3
2018-06-25T10:56:04.9350000;114;755.6
2018-06-25T10:56:04.9370000;116;751.3
2018-06-25T10:56:04.9390000;118;752.2
2018-06-25T10:56:04.9410000;120;747.8
2018-06-25T10:56:04.9430000;122;744.4
2018-06-25T10:56:04.9450000;124;739.2
2018-06-25T10:56:04.9470000;126;734.9
2018-06-25T10:56:04.9490000;128;734.0
2018-06-25T10:56:04.9510000;130;731.0
2018-06-25T10:56:04.9530000;132;729.7
2018-06-25T10:56:04.9550000;134;724.5
2018-06-25T10:56:04.9570000;136;722.4
2018-06-25T10:56:04.9590000;138;720.7
2018-06-25T10:56:04.9610000;140;719.4
2018-06-25T10:56:04.9630000;142;718.9
2018-06-25T10:56:04.9650000;144;719.8
2018-06-25T10:56:04.9670000;146;718.1
2018-06-25T10:56:04.9690000;148;719.4
2018-06-25T10:56:04.9710000;150;718.1
2018-06-25T10:56:04.9730000;152;717.6
2018-06-25T10:56:04.9750000;154;719.4
2018-06-25T10:56:04.9770000;156;720.7
2018-06-25T10:56:04.9790000;158;721.1
2018-06-25T10:56:04.9810000;160;720.7
2018-06-25T10:56:04.9830000;162;718.9
2018-06-25T10:56:04.9850000;164;716.8
2018-06-25T10:56:04.9870000;166;716.8
2018-06-25T10:56:04.9890000;168;716.3
2018-06-25T10:56:04.9910000;170;716.3
2018-06-25T10:56:04.9930000;172;715.9
2018-06-25T10:56:04.9950000;174;714.2
2018-06-25T10:56:04.9970000;176;712.5
2018-06-25T10:56:04.9990000;178;711.6
2018-06-25T10:56:05.0010000;180;710.7
2018-06-25T10:56:05.0030000;182;711.6
2018-06-25T10:56:05.0050000;184;709.0
2018-06-25T10:56:05.0070000;186;706.0
2018-06-25T10:56:05.0090000;188;706.8
2018-06-25T10:56:05.0110000;190;704.3
2018-06-25T10:56:05.0130000;192;705.1
2018-06-25T10:56:05.0150000;194;704.3
2018-06-25T10:56:05.0170000;196;703.4
2018-06-25T10:56:05.0190000;198;703.0
2018-06-25T10:56:05.0210000;200;701.7
2018-06-25T10:56:05.0230000;202;704.7
2018-06-25T10:56:05.0250000;204;707.3
2018-06-25T10:56:05.0270000;206;709.9
2018-06-25T10:56:05.0290000;208;707.7
2018-06-25T10:56:05.0310000;210;706.8
2018-06-25T10:56:05.0330000;212;706.8
2018-06-25T10:56:05.0350000;214;704.3
2018-06-25T10:56:05.0370000;216;706.0
2018-06-25T10:56:05.0390000;218;707.7
2018-06-25T10:56:05.0410000;220;707.7
2018-06-25T10:56:05.0430000;222;707.3
2018-06-25T10:56:05.0450000;224;705.1
2018-06-25T10:56:05.0470000;226;704.7
2018-06-25T10:56:05.0490000;228;706.8
2018-06-25T10:56:05.0510000;230;706.8
2018-06-25T10:56:05.0530000;232;707.3
2018-06-25T10:56:05.0550000;234;705.1
2018-06-25T10:56:05.0570000;236;704.7
2018-06-25T10:56:05.0590000;238;700.8
2018-06-25T10:56:05.0610000;240;698.2
2018-06-25T10:56:05.0630000;242;696.9
2018-06-25T10:56:05.0650000;244;694.8
2018-06-25T10:56:05.0670000;246;694.8
2018-06-25T10:56:05.0690000;248;693.9
2018-06-25T10:56:05.0710000;250;693.0
2018-06-25T10:56:05.0730000;252;693.0
2018-06-25T10:56:05.0750000;254;694.3
2018-06-25T10:56:05.0770000;256;693.9
2018-06-25T10:56:05.0790000;258;693.0
2018-06-25T10:56:05.0810000;260;690.9
2018-06-25T10:56:05.0830000;262;690.5
2018-06-25T10:56:05.0850000;264;690.9
2018-06-25T10:56:05.0870000;266;691.3
2018-06-25T10:56:05.0890000;268;689.6
2018-06-25T10:56:05.0910000;270;690.0
2018-06-25T10:56:05.0930000;272;690.0
2018-06-25T10:56:05.0950000;274;689.2
2018-06-25T10:56:05.0970000;276;690.5
2018-06-25T10:56:05.0990000;278;691.7
2018-06-25T10:56:05.1010000;280;695.2
2018-06-25T10:56:05.1030000;282;696.1
2018-06-25T10:56:05.1050000;284;694.8
2018-06-25T10:56:05.1070000;286;696.5
2018-06-25T10:56:05.1090000;288;696.1
2018-06-25T10:56:05.1110000;290;695.2
2018-06-25T10:56:05.1130000;292;693.0
2018-06-25T10:56:05.1150000;294;693.0
2018-06-25T10:56:05.1170000;296;693.5
2018-06-25T10:56:05.1190000;298;693.0
2018-06-25T10:56:05.1210000;300;693.9
2018-06-25T10:56:05.1230000;302;693.5
2018-06-25T10:56:05.1250000;304;693.0
2018-06-25T10:56:05.1270000;306;693.0
2018-06-25T10:56:05.1290000;308;692.6
2018-06-25T10:56:05.1310000;310;694.3
2018-06-25T10:56:05.1330000;312;695.2
2018-06-25T10:56:05.1350000;314;696.1
2018-06-25T10:56:05.1370000;316;695.2
2018-06-25T10:56:05.1390000;318;692.6
2018-06-25T10:56:05.1410000;320;691.7
2018-06-25T10:56:05.1430000;322;690.9
2018-06-25T10:56:05.1450000;324;691.7
2018-06-25T10:56:05.1470000;326;692.6
2018-06-25T10:56:05.1490000;328;691.7
2018-06-25T10:56:05.1510000;330;693.5
2018-06-25T10:56:05.1530000;332;693.0
2018-06-25T10:56:05.1550000;334;693.0
2018-06-25T10:56:05.1570000;336;694.8
2018-06-25T10:56:05.1590000;338;699.1
2018-06-25T10:56:05.1610000;340;701.2
2018-06-25T10:56:05.1630000;342;700.8
2018-06-25T10:56:05.1650000;344;701.2
2018-06-25T10:56:05.1670000;346;700.4
2018-06-25T10:56:05.1690000;348;698.2
2018-06-25T10:56:05.1710000;350;697.8
2018-06-25T10:56:05.1730000;352;696.5
2018-06-25T10:56:05.1750000;354;697.8
2018-06-25T10:56:05.1770000;356;696.1
2018-06-25T10:56:05.1790000;358;693.0
2018-06-25T10:56:05.1810000;360;691.3
2018-06-25T10:56:05.1830000;362;691.3
2018-06-25T10:56:05.1850000;364;691.3
2018-06-25T10:56:05.1870000;366;691.7
2018-06-25T10:56:05.1890000;368;693.5
2018-06-25T10:56:05.1910000;370;692.6
2018-06-25T10:56:05.1930000;372;693.5
2018-06-25T10:56:05.1950000;374;693.0
2018-06-25T10:56:05.1970000;376;691.3
2018-06-25T10:56:05.1990000;378;693.0
2018-06-25T10:56:05.2010000;380;693.0
2018-06-25T10:56:05.2030000;382;693.0
2018-06-25T10:56:05.2050000;384;695.2
2018-06-25T10:56:05.2070000;386;693.0
2018-06-25T10:56:05.2090000;388;693.0
2018-06-25T10:56:05.2110000;390;691.7
2018-06-25T10:56:05.2130000;392;690.9
2018-06-25T10:56:05.2150000;394;690.5
2018-06-25T10:56:05.2170000;396;690.5
2018-06-25T10:56:05.2190000;398;690.5
2018-06-25T10:56:05.2210000;400;689.2
2018-06-25T10:56:05.2230000;402;688.3
